Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo;Imagen;Archivo imagen asignado
soporte-lateral-p-cano-oval-f-1;Soporte Lateral P/ Caño Oval;Accesorios de Placard;;;;;;;157.50;;;;;;;F-1;;SI;NO;Marca: BRONZEN<br>Código: F-1<br>Producto disponible en Herrajes Darío.;BRONZEN;Soporte Lateral P/ Caño Oval | Herrajes Darío;Soporte Lateral P/ Caño Oval marca BRONZEN. Código F-1. Consultá disponibilidad en Herrajes Darío.;BRONZEN;SI;;;;;/productos/f-1.png;
cano-oval-anodizado-x-3-mts-ovo;Caño Oval Anodizado x 3 mts;Accesorios de Placard;;;;;;;11760.00;;;;;;;OVO;;SI;NO;Marca: Grupo Euro<br>Código: OVO<br>Producto disponible en Herrajes Darío.;Grupo Euro;Caño Oval Anodizado x 3 mts | Herrajes Darío;Caño Oval Anodizado x 3 mts marca Grupo Euro. Código OVO. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;/productos/ovo.png;
soporte-central-anodizado-sco;Soporte Central Anodizado;Accesorios de Placard;;;;;;;1890.00;;;;;;;SCO;;SI;NO;Marca: Grupo Euro<br>Código: SCO<br>Producto disponible en Herrajes Darío.;Grupo Euro;Soporte Central Anodizado | Herrajes Darío;Soporte Central Anodizado marca Grupo Euro. Código SCO. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;/productos/sco.png;
soporte-lateral-anodizado-slo;Soporte Lateral Anodizado;Accesorios de Placard;;;;;;;577.50;;;;;;;SLO;;SI;NO;Marca: Grupo Euro<br>Código: SLO<br>Producto disponible en Herrajes Darío.;Grupo Euro;Soporte Lateral Anodizado | Herrajes Darío;Soporte Lateral Anodizado marca Grupo Euro. Código SLO. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;/productos/slo.png;
cano-oval-anodizado-negro-x-3-mts-ovon;Caño Oval Anodizado Negro x 3 mts;Accesorios de Placard;;;;;;;11760.00;;;;;;;OVON;;SI;NO;Marca: Grupo Euro<br>Código: OVON<br>Producto disponible en Herrajes Darío.;Grupo Euro;Caño Oval Anodizado Negro x 3 mts | Herrajes Darío;Caño Oval Anodizado Negro x 3 mts marca Grupo Euro. Código OVON. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;/productos/ovon.png;
soporte-central-anodizado-negro-scon;Soporte Central Anodizado Negro;Accesorios de Placard;;;;;;;2205.00;;;;;;;SCON;;SI;NO;Marca: Grupo Euro<br>Código: SCON<br>Producto disponible en Herrajes Darío.;Grupo Euro;Soporte Central Anodizado Negro | Herrajes Darío;Soporte Central Anodizado Negro marca Grupo Euro. Código SCON. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;/productos/scon.png;
soporte-lateral-anodizado-negro-slon;Soporte Lateral Anodizado Negro;Accesorios de Placard;;;;;;;1260.00;;;;;;;SLON;;SI;NO;Marca: Grupo Euro<br>Código: SLON<br>Producto disponible en Herrajes Darío.;Grupo Euro;Soporte Lateral Anodizado Negro | Herrajes Darío;Soporte Lateral Anodizado Negro marca Grupo Euro. Código SLON. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;/productos/slon.png;
freno-cierre-suave-p-placard-classic-y-smart-fsc;Freno Cierre Suave P/ Placard CLASSIC Y SMART;Accesorios de Placard;;;;;;;18270.00;;;;;;;FSC;;SI;NO;Marca: Grupo Euro<br>Código: FSC<br>Producto disponible en Herrajes Darío.;Grupo Euro;Freno Cierre Suave P/ Placard CLASSIC Y SMART | Herrajes Darío;Freno Cierre Suave P/ Placard CLASSIC Y SMART marca Grupo Euro. Código FSC. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;/productos/fsc.jpg;
hoja-adicional-anodizado-standard-tuh-110-s;Hoja Adicional Anodizado Standard;Accesorios de Placard;;;;;;;29925.00;;;;;;;TUH-110-S;;SI;NO;Marca: BRONZEN<br>Código: TUH-110-S<br>Producto disponible en Herrajes Darío.;BRONZEN;Hoja Adicional Anodizado Standard | Herrajes Darío;Hoja Adicional Anodizado Standard marca BRONZEN. Código TUH-110-S. Consultá disponibilidad en Herrajes Darío.;BRONZEN;SI;;;;;/productos/tuh-110-s.png;
hoja-adicional-anodizado-premium-tuh-110-p;Hoja Adicional Anodizado PREMIUM;Accesorios de Placard;;;;;;;33810.00;;;;;;;TUH-110-P;;SI;NO;Marca: BRONZEN<br>Código: TUH-110-P<br>Producto disponible en Herrajes Darío.;BRONZEN;Hoja Adicional Anodizado PREMIUM | Herrajes Darío;Hoja Adicional Anodizado PREMIUM marca BRONZEN. Código TUH-110-P. Consultá disponibilidad en Herrajes Darío.;BRONZEN;SI;;;;;/productos/tuh-110-p.png;
canto-preencolado-melaminico-blanco-22mm-x-50-mts-tpc-21;Canto Preencolado Melaminico Blanco 22mm x 50 mts;Hogar y Obra;;;;;;;7455.00;;;;;;;TPC-21;;SI;NO;Marca: BRONZEN<br>Código: TPC-21<br>Producto disponible en Herrajes Darío.;BRONZEN;Canto Preencolado Melaminico Blanco 22mm x 50 mts | Herrajes Darío;Canto Preencolado Melaminico Blanco 22mm x 50 mts marca BRONZEN. Código TPC-21. Consultá disponibilidad en Herrajes Darío.;BRONZEN;SI;;;;;/productos/tpc-21.jpg;
canto-pvc-blanco-0-40mm-x-100-mts-tpc-30;Canto PVC Blanco 0,40mm x 100 Mts;Hogar y Obra;;;;;;;10500.00;;;;;;;TPC-30;;SI;NO;Marca: BRONZEN<br>Código: TPC-30<br>Producto disponible en Herrajes Darío.;BRONZEN;Canto PVC Blanco 0,40mm x 100 Mts | Herrajes Darío;Canto PVC Blanco 0,40mm x 100 Mts marca BRONZEN. Código TPC-30. Consultá disponibilidad en Herrajes Darío.;BRONZEN;SI;;;;;/productos/tpc-30.jpg;
zocalo-pvc-100mm-x-3-mts-aluminio-anodizado-tuh-1100;Zocalo Pvc 100mm x 3 mts Aluminio Anodizado;Hogar y Obra;;;;;;;11655.00;;;;;;;TUH-1100;;SI;NO;Marca: BRONZEN<br>Código: TUH-1100<br>Producto disponible en Herrajes Darío.;BRONZEN;Zocalo Pvc 100mm x 3 mts Aluminio Anodizado | Herrajes Darío;Zocalo Pvc 100mm x 3 mts Aluminio Anodizado marca BRONZEN. Código TUH-1100. Consultá disponibilidad en Herrajes Darío.;BRONZEN;SI;;;;;/productos/tuh-1100-n.webp;
zocalo-pvc-100mm-x-3-mts-aluminio-negro-tuh-1100-n;Zocalo Pvc 100mm x 3 mts Aluminio Negro;Hogar y Obra;;;;;;;11655.00;;;;;;;TUH-1100-N;;SI;NO;Marca: BRONZEN<br>Código: TUH-1100-N<br>Producto disponible en Herrajes Darío.;BRONZEN;Zocalo Pvc 100mm x 3 mts Aluminio Negro | Herrajes Darío;Zocalo Pvc 100mm x 3 mts Aluminio Negro marca BRONZEN. Código TUH-1100-N. Consultá disponibilidad en Herrajes Darío.;BRONZEN;SI;;;;;/productos/tuh-1100-n.webp;
zocalo-pvc-120mm-x-3-mts-aluminio-anodizado-tuh-1120;Zocalo Pvc 120mm x 3 mts Aluminio Anodizado;Hogar y Obra;;;;;;;13440.00;;;;;;;TUH-1120;;SI;NO;Marca: BRONZEN<br>Código: TUH-1120<br>Producto disponible en Herrajes Darío.;BRONZEN;Zocalo Pvc 120mm x 3 mts Aluminio Anodizado | Herrajes Darío;Zocalo Pvc 120mm x 3 mts Aluminio Anodizado marca BRONZEN. Código TUH-1120. Consultá disponibilidad en Herrajes Darío.;BRONZEN;SI;;;;;/productos/tuh-1120-n.webp;
zocalo-pvc-120mm-x-3-mts-aluminio-negro-tuh-1120-n;Zocalo Pvc 120mm x 3 mts Aluminio Negro;Hogar y Obra;;;;;;;13440.00;;;;;;;TUH-1120-N;;SI;NO;Marca: BRONZEN<br>Código: TUH-1120-N<br>Producto disponible en Herrajes Darío.;BRONZEN;Zocalo Pvc 120mm x 3 mts Aluminio Negro | Herrajes Darío;Zocalo Pvc 120mm x 3 mts Aluminio Negro marca BRONZEN. Código TUH-1120-N. Consultá disponibilidad en Herrajes Darío.;BRONZEN;SI;;;;;/productos/tuh-1120-n.webp;
perfil-plano-100mm-x-3-mts-aluminio-tuh-404;Perfil Plano 100mm x 3 mts Aluminio;Hogar y Obra;;;;;;;23310.00;;;;;;;TUH-404;;SI;NO;Marca: BRONZEN<br>Código: TUH-404<br>Producto disponible en Herrajes Darío.;BRONZEN;Perfil Plano 100mm x 3 mts Aluminio | Herrajes Darío;Perfil Plano 100mm x 3 mts Aluminio marca BRONZEN. Código TUH-404. Consultá disponibilidad en Herrajes Darío.;BRONZEN;SI;;;;;/productos/tuh-404.jpg;
perfil-plano-120mm-x-3-mts-aluminio-tuh-405;Perfil Plano 120mm x 3 mts Aluminio;Hogar y Obra;;;;;;;28770.00;;;;;;;TUH-405;;SI;NO;Marca: BRONZEN<br>Código: TUH-405<br>Producto disponible en Herrajes Darío.;BRONZEN;Perfil Plano 120mm x 3 mts Aluminio | Herrajes Darío;Perfil Plano 120mm x 3 mts Aluminio marca BRONZEN. Código TUH-405. Consultá disponibilidad en Herrajes Darío.;BRONZEN;SI;;;;;/productos/tuh-405.jpg;
canto-u-liso-de-18mm-x-3-mts-aluminio-tuh-801;Canto U Liso de 18mm x 3 mts Aluminio;Hogar y Obra;;;;;;;5061.00;;;;;;;TUH-801;;SI;NO;Marca: BRONZEN<br>Código: TUH-801<br>Producto disponible en Herrajes Darío.;BRONZEN;Canto U Liso de 18mm x 3 mts Aluminio | Herrajes Darío;Canto U Liso de 18mm x 3 mts Aluminio marca BRONZEN. Código TUH-801. Consultá disponibilidad en Herrajes Darío.;BRONZEN;SI;;;;;/productos/tuh-801.jpg;
puntera-brillante-18mm-tuh-et-b;Puntera Brillante 18mm;Hogar y Obra;;;;;;;315.00;;;;;;;TUH-ET-B;;SI;NO;Marca: BRONZEN<br>Código: TUH-ET-B<br>Producto disponible en Herrajes Darío.;BRONZEN;Puntera Brillante 18mm | Herrajes Darío;Puntera Brillante 18mm marca BRONZEN. Código TUH-ET-B. Consultá disponibilidad en Herrajes Darío.;BRONZEN;SI;;;;;/productos/tuh-et-b.jpg;
piston-a-gas-60-n-p10-60;Piston a gas 60 N;Pistones a Gas;;;;;;;1260.00;;;;;;;P10-60;;SI;NO;Marca: BRONZEN<br>Código: P10-60<br>Producto disponible en Herrajes Darío.;BRONZEN;Piston a gas 60 N | Herrajes Darío;Piston a gas 60 N marca BRONZEN. Código P10-60. Consultá disponibilidad en Herrajes Darío.;BRONZEN;SI;;;;;/productos/p10.jpg;
