Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo;Imagen;Archivo imagen asignado
telescopica-reforzada-250mm-zincada-gt-4525-z;Telescopica Reforzada 250mm Zincada;Correderas para Muebles;;;;;;;3150.00;;;;;;;GT-4525-Z;;SI;NO;Marca: Grupo Euro<br>Código: GT-4525-Z<br>Producto disponible en Herrajes Darío.;Grupo Euro;Telescopica Reforzada 250mm Zincada | Herrajes Darío;Telescopica Reforzada 250mm Zincada marca Grupo Euro. Código GT-4525-Z. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1leg2w5mdU6vn2DrW-mSvZeb-4f4j1dra;ESQ_GT4525Z.jpg
telescopica-reforzada-250mm-negra-gt-4525-n;Telescopica Reforzada 250mm Negra;Correderas para Muebles;;;;;;;3150.00;;;;;;;GT-4525-N;;SI;NO;Marca: Grupo Euro<br>Código: GT-4525-N<br>Producto disponible en Herrajes Darío.;Grupo Euro;Telescopica Reforzada 250mm Negra | Herrajes Darío;Telescopica Reforzada 250mm Negra marca Grupo Euro. Código GT-4525-N. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1leg2w5mdU6vn2DrW-mSvZeb-4f4j1dra;ESQ_GT4525Z.jpg
telescopica-reforzada-300mm-zincada-gt-4530-z;Telescopica Reforzada 300mm Zincada;Correderas para Muebles;;;;;;;3780.00;;;;;;;GT-4530-Z;;SI;NO;Marca: Grupo Euro<br>Código: GT-4530-Z<br>Producto disponible en Herrajes Darío.;Grupo Euro;Telescopica Reforzada 300mm Zincada | Herrajes Darío;Telescopica Reforzada 300mm Zincada marca Grupo Euro. Código GT-4530-Z. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1leg2w5mdU6vn2DrW-mSvZeb-4f4j1dra;ESQ_GT4525Z.jpg
telescopica-reforzada-300mm-negra-gt-4530-n;Telescopica Reforzada 300mm Negra;Correderas para Muebles;;;;;;;3780.00;;;;;;;GT-4530-N;;SI;NO;Marca: Grupo Euro<br>Código: GT-4530-N<br>Producto disponible en Herrajes Darío.;Grupo Euro;Telescopica Reforzada 300mm Negra | Herrajes Darío;Telescopica Reforzada 300mm Negra marca Grupo Euro. Código GT-4530-N. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1leg2w5mdU6vn2DrW-mSvZeb-4f4j1dra;ESQ_GT4525Z.jpg
telescopica-reforzada-350mm-zincada-gt-4535-z;Telescopica Reforzada 350mm Zincada;Correderas para Muebles;;;;;;;4462.50;;;;;;;GT-4535-Z;;SI;NO;Marca: Grupo Euro<br>Código: GT-4535-Z<br>Producto disponible en Herrajes Darío.;Grupo Euro;Telescopica Reforzada 350mm Zincada | Herrajes Darío;Telescopica Reforzada 350mm Zincada marca Grupo Euro. Código GT-4535-Z. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1leg2w5mdU6vn2DrW-mSvZeb-4f4j1dra;ESQ_GT4525Z.jpg
telescopica-reforzada-350mm-negra-gt-4535-n;Telescopica Reforzada 350mm Negra;Correderas para Muebles;;;;;;;4462.50;;;;;;;GT-4535-N;;SI;NO;Marca: Grupo Euro<br>Código: GT-4535-N<br>Producto disponible en Herrajes Darío.;Grupo Euro;Telescopica Reforzada 350mm Negra | Herrajes Darío;Telescopica Reforzada 350mm Negra marca Grupo Euro. Código GT-4535-N. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1leg2w5mdU6vn2DrW-mSvZeb-4f4j1dra;ESQ_GT4525Z.jpg
telescopica-reforzada-400mm-zincada-gt-4540-z;Telescopica Reforzada 400mm Zincada;Correderas para Muebles;;;;;;;5092.50;;;;;;;GT-4540-Z;;SI;NO;Marca: Grupo Euro<br>Código: GT-4540-Z<br>Producto disponible en Herrajes Darío.;Grupo Euro;Telescopica Reforzada 400mm Zincada | Herrajes Darío;Telescopica Reforzada 400mm Zincada marca Grupo Euro. Código GT-4540-Z. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1leg2w5mdU6vn2DrW-mSvZeb-4f4j1dra;ESQ_GT4525Z.jpg
telescopica-reforzada-400mm-negra-gt-4540-n;Telescopica Reforzada 400mm Negra;Correderas para Muebles;;;;;;;5092.50;;;;;;;GT-4540-N;;SI;NO;Marca: Grupo Euro<br>Código: GT-4540-N<br>Producto disponible en Herrajes Darío.;Grupo Euro;Telescopica Reforzada 400mm Negra | Herrajes Darío;Telescopica Reforzada 400mm Negra marca Grupo Euro. Código GT-4540-N. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1leg2w5mdU6vn2DrW-mSvZeb-4f4j1dra;ESQ_GT4525Z.jpg
telescopica-reforzada-450mm-zincada-gt-4545-z;Telescopica Reforzada 450mm Zincada;Correderas para Muebles;;;;;;;5775.00;;;;;;;GT-4545-Z;;SI;NO;Marca: Grupo Euro<br>Código: GT-4545-Z<br>Producto disponible en Herrajes Darío.;Grupo Euro;Telescopica Reforzada 450mm Zincada | Herrajes Darío;Telescopica Reforzada 450mm Zincada marca Grupo Euro. Código GT-4545-Z. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1leg2w5mdU6vn2DrW-mSvZeb-4f4j1dra;ESQ_GT4525Z.jpg
telescopica-reforzada-450mm-negra-gt-4545-n;Telescopica Reforzada 450mm Negra;Correderas para Muebles;;;;;;;5775.00;;;;;;;GT-4545-N;;SI;NO;Marca: Grupo Euro<br>Código: GT-4545-N<br>Producto disponible en Herrajes Darío.;Grupo Euro;Telescopica Reforzada 450mm Negra | Herrajes Darío;Telescopica Reforzada 450mm Negra marca Grupo Euro. Código GT-4545-N. Consultá disponibilidad en Herrajes Darío.;Grupo Euro;SI;;;;;https://drive.google.com/uc?export=view&id=1leg2w5mdU6vn2DrW-mSvZeb-4f4j1dra;ESQ_GT4525Z.jpg
